id	tokens	pos_tags	chunk_tags	ner_tags
10	['This', 'also', 'prompted', 'the', 'authors', 'to', 'reinterpret', 'large', 'bones', 'in', 'nearby', 'Aust', 'Cliff', ',', 'previously', 'considered', 'to', 'be', 'from', 'large', 'terrestrial', 'archosaurs', ',', 'as', 'possible', 'giant', 'ichthyosaur', 'fragments', 'from', 'the', 'surangular', ',', 'hyoid', 'or', 'other', 'jaw', 'bones', '.']	[10, 2, 15, 5, 7, 9, 15, 0, 7, 1, 0, 11, 11, 12, 2, 15, 9, 3, 1, 0, 0, 7, 12, 1, 0, 0, 7, 7, 1, 5, 0, 12, 7, 4, 0, 7, 7, 12]	[0, 3, 21, 0, 11, 15, 21, 1, 11, 13, 1, 11, 12, 0, 3, 21, 15, 21, 13, 1, 2, 11, 0, 13, 1, 2, 11, 12, 13, 0, 1, 0, 11, 0, 1, 11, 12, 0]	[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
11	['[', '1][2', ']', '\n', 'Another', 'smaller', 'jaw', 'fragment', 'from', 'a', 'giant', 'ichthyosaur', 'is', 'known', 'from', 'Lilstock', ',', 'although', 'it', 'is', 'stored', 'in', 'a', 'private', 'collection', 'and', 'still', 'remains', 'undescribed', '.']	[16, 8, 12, 5, 0, 7, 7, 1, 5, 0, 7, 3, 15, 1, 11, 12, 13, 10, 3, 15, 1, 5, 0, 7, 4, 2, 15, 0, 12, -1]	[19, 0, 0, 0, 0, 1, 11, 12, 13, 0, 1, 11, 21, 22, 13, 11, 0, 17, 0, 21, 22, 13, 0, 1, 11, 0, 3, 21, 1, 0]	[7, 2, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
12	"['[', '3', ']', '\n', 'The', 'Ichthyotitan', 'holotype', 'specimen', ',', 'BRSMG', 'Cg3178', '(', 'the', '""', 'BAS', 'specimen', '""', ')', ',', 'was', 'discovered', 'in', 'sediments', 'of', 'the', 'Westbury', 'Formation', 'near', 'Blue', 'Anchor', 'in', 'Somerset', ',', 'UK', '.']"	[16, 16, 12, 5, 11, 7, 7, 12, 11, 11, 12, 5, 12, 11, 7, 12, 12, 12, 3, 15, 1, 7, 1, 5, 11, 11, 1, 11, 11, 1, 11, 12, 11, 12, -1]	[19, 20, 0, 0, 0, 11, 12, 12, 0, 11, 12, 0, 0, 0, 11, 12, 0, 0, 0, 21, 22, 13, 11, 13, 0, 11, 12, 13, 11, 12, 13, 11, 0, 11, 0]	[7, 8, 4, 2, 4, 5, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
13	['The', 'first', 'fragment', 'was', 'found', 'in', '2020', 'by', '11', '–', 'year', 'old', 'Ruby', 'Reynolds', ',', 'while', 'looking', 'for', 'fossils', 'on', 'the', 'beach', 'at', 'Blue', 'Anchor', 'with', 'her', 'father', ',', 'fossil', 'collector', 'Justin', 'Reynolds', '.']	[5, 0, 7, 3, 15, 1, 8, 1, 8, 12, 7, 0, 11, 11, 12, 13, 15, 1, 7, 1, 5, 7, 1, 11, 11, 1, 10, 7, 12, 7, 7, 11, 11, 12]	[0, 1, 11, 21, 22, 13, 0, 13, 0, 0, 11, 1, 11, 12, 0, 17, 21, 13, 11, 13, 0, 11, 13, 11, 12, 13, 0, 11, 0, 11, 12, 12, 12, 0]	[8, 7, 7, 1, 4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
14	['They', 'contacted', 'researcher', 'Dean', 'Lomax', ',', 'who', 'himself', 'reached', 'out', 'to', 'Paul', 'de', 'la', 'Salle', '.']	[10, 15, 7, 11, 11, 12, 10, 10, 15, 1, 1, 11, 16, 11, 11, 12]	[0, 21, 11, 12, 12, 0, 0, 0, 21, 13, 14, 11, 19, 11, 12, 0]	[2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
15	['Subsequent', 'expeditions', 'were', 'led', 'by', 'the', 'team', 'until', 'October', '2022', ',', 'revealing', 'additional', 'pieces', ',', 'and', 'known', 'parts', 'of', 'the', 'jawbone', 'were', 'reassembled', 'in', '2022', '.']	[0, 7, 3, 15, 1, 5, 7, 1, 11, 8, 12, 15, 0, 7, 12, 4, 15, 7, 1, 5, 7, 3, 15, 1, 8, 12]	[1, 11, 21, 22, 13, 0, 11, 13, 11, 0, 0, 21, 1, 11, 0, 0, 21, 11, 13, 0, 11, 21, 22, 13, 0, 0]	[7, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
16	['[', '4][5', ']', 'While', 'incomplete', ',', 'the', 'jawbone', ',', 'although', 'an', 'element', 'representing', 'only', 'part', 'of', 'the', 'entire', 'lower', 'jaw', 'length', ',', 'has', 'been', 'estimated', 'to', 'have', 'measured', 'more', 'than', '2', 'metres', '(', '6.6', '\xa0', 'ft', ')', 'in', 'total', '.']	[16, 16, 16, 13, 0, 12, 5, 7, 12, 13, 5, 7, 15, 2, 7, 1, 5, 0, 0, 7, 7, 12, 3, 3, 15, 9, 3, 15, 0, 1, 8, 7, 12, 8, 11, 12, 1, 7, 12, -1]	[19, 20, 20, 17, 1, 0, 0, 11, 0, 17, 0, 11, 21, 3, 11, 13, 0, 1, 2, 11, 12, 0, 21, 22, 22, 15, 21, 22, 1, 13, 0, 11, 0, 0, 0, 11, 0, 13, 11, 0]	[7, 2, 8, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
17	['[', '3', ']', '\n', 'The', 'specimen', 'consists', 'of', 'fragments', 'of', 'a', 'right', 'surangular', ',', 'more', 'complete', 'than', 'the', 'Lilstock', 'specimen', ',', 'with', 'some', 'fragments', 'possibly', 'belonging', 'to', 'the', 'angular', 'bone', '.']	[16, 16, 12, 5, 7, 15, 1, 7, 1, 5, 0, 0, 12, 2, 0, 1, 5, 11, 7, 12, 1, 5, 7, 2, 15, 1, 5, 0, 7, 12, -1]	[19, 20, 0, 0, 0, 11, 21, 13, 11, 13, 0, 1, 2, 0, 3, 1, 13, 0, 11, 12, 0, 13, 0, 11, 3, 21, 13, 0, 1, 11, 0]	[7, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
18	['Histological', 'features', 'suggest', 'that', 'the', 'specimen', 'was', 'still', 'growing', ',', 'so', 'was', 'either', 'a', 'subadult', 'or', 'a', 'young', 'adult', '.']	[0, 7, 15, 13, 5, 7, 3, 2, 15, 12, 2, 3, 4, 5, 7, 4, 5, 0, 7, 12]	[1, 11, 21, 17, 0, 11, 21, 3, 21, 0, 3, 21, 0, 0, 11, 0, 0, 1, 11, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
19	['Multiple', 'encrusting', 'organisms', ',', 'including', 'bivalves', ',', 'are', 'present', ',', 'as', 'well', 'as', 'possible', 'signs', 'of', 'scavenging', '.']	[0, 15, 7, 12, 15, 7, 12, 3, 0, 12, 2, 2, 1, 0, 7, 1, 7, 12]	[1, 21, 11, 0, 21, 11, 0, 21, 1, 0, 3, 4, 13, 1, 11, 13, 11, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
20	['[', '3', ']', 'It', 'is', 'scheduled', 'to', 'be', 'displayed', 'at', 'the', 'Bristol', 'Museum', 'and', 'Art', 'Gallery', '.']	[16, 16, 12, 10, 3, 15, 9, 3, 15, 1, 5, 11, 11, 4, 11, 11, 12]	[19, 20, 0, 0, 21, 22, 15, 21, 22, 13, 0, 11, 12, 0, 11, 12, 0]	[7, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
21	['[', '4', ']', '\n', 'Other', 'fragmentary', 'remains', 'were', 'discovered', 'but', 'not', 'identified', 'with', 'the', 'holotype', 'specimen', ',', 'including', 'two', 'large', 'rib', 'sections', 'from', 'another', 'potential', 'giant', 'ichthyosaur', ',', 'found', 'at', 'a', 'higher', 'stratigraphic', 'level', '.']	[16, 16, 12, 0, 0, 7, 3, 15, 4, 9, 15, 1, 5, 11, 7, 12, 15, 8, 0, 7, 7, 1, 5, 0, 0, 7, 12, 15, 1, 5, 0, 0, 7, 12, -1]	[19, 20, 0, 0, 1, 2, 11, 21, 22, 0, 15, 21, 13, 0, 11, 12, 0, 21, 0, 1, 11, 12, 13, 0, 1, 2, 11, 0, 21, 13, 0, 1, 2, 11, 0]	[7, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
22	['[', '3', ']', '\n', 'In', '2024', ',', 'Lomax', 'et', 'al', '.']	[16, 16, 16, 1, 8, 12, 11, 11, 11, 12, -1]	[19, 20, 20, 0, 13, 0, 0, 11, 12, 12, 0]	[7, 8, 2, 0, 0, 0, 0, 0, 0, 0, 0]
23	['described', 'Ichthyotitan', 'severnensis', 'as', 'a', 'new', 'genus', 'and', 'species', 'of', 'probable', 'shastasaurid', 'ichthyosaur', 'based', 'on', 'BRSMG', 'Cg3178', 'and', 'BRSMG', 'Cg2488', '.']	[15, 11, 7, 1, 5, 0, 7, 4, 7, 1, 0, 7, 7, 15, 1, 11, 11, 4, 11, 11, 12]	[21, 11, 12, 13, 0, 1, 11, 0, 11, 13, 1, 11, 12, 21, 13, 11, 12, 0, 11, 12, 0]	[7, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
24	"['The', 'generic', 'name', ',', 'Ichthyotitan', ',', 'combines', 'a', 'reference', 'to', 'Ichthyosaurus', '—', 'whose', 'name', 'means', '""', 'fish', 'lizard', '""', ',', 'itself', 'combining', 'the', 'Greek', 'words', 'ἰχθύς', '(', 'ichthys', ')', ',', 'meaning', '""', 'fish', '""', ',', 'and', 'σαῦρος', '(', 'sauros', ')', ',', 'meaning', '""', 'lizard""—with', 'the', 'Greek', 'suffix', '-τιτάν', '(', '-titan', ')', ',', 'meaning', '""', 'giant', '""', '.']"	[5, 0, 7, 12, 11, 12, 15, 5, 7, 1, 11, 12, 5, 7, 15, 12, 7, 7, 12, 12, 10, 15, 5, 0, 7, 15, 12, 7, 12, 12, 15, 12, 7, 12, 12, 4, 11, 12, 11, 12, 12, 15, 12, 1, 5, 0, 7, 7, 12, 11, 12, 12, 15, 12, 7, 12, 12]	[0, 1, 11, 0, 11, 0, 21, 0, 11, 13, 11, 0, 0, 11, 21, 0, 11, 12, 0, 0, 0, 21, 0, 1, 11, 21, 0, 11, 0, 0, 21, 0, 11, 0, 0, 0, 11, 0, 11, 0, 0, 21, 0, 13, 0, 1, 11, 12, 0, 11, 0, 0, 21, 0, 11, 0, 0]	[6, 5, 7, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
25	['The', 'specific', 'name', ',', 'severnensis', ',', 'references', 'the', 'Severn', 'Estuary', 'near', 'the', 'type', 'locality', '.']	[5, 0, 7, 12, 7, 12, 7, 5, 11, 11, 1, 5, 7, 7, 12]	[0, 1, 11, 0, 11, 0, 11, 0, 11, 12, 13, 0, 11, 12, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
26	['[', '3', ']', '\n', 'Other', 'fragmentary', 'remains', 'of', 'giant', 'ichthyosaurs', 'of', 'a', 'similar', 'age', 'to', 'Ichthyotitan', 'have', 'also', 'been', 'reported', 'from', 'Germany', '(', 'Bonenburg', '\xa0', '[', 'de', ']', 'district', 'of', 'Warburg', ')', 'and', 'France', '(', 'Autun', 'and', 'Cuers', ')', '.']	[16, 16, 12, 0, 0, 7, 1, 0, 7, 1, 5, 0, 7, 1, 11, 3, 2, 3, 15, 1, 11, 12, 11, 16, 16, 16, 7, 1, 11, 12, 4, 11, 12, 11, 4, 11, 12, 12, -1, -1]	[19, 20, 0, 0, 1, 2, 11, 13, 1, 11, 13, 0, 1, 11, 13, 11, 21, 3, 21, 22, 13, 11, 0, 11, 0, 19, 20, 20, 11, 13, 11, 0, 0, 11, 0, 11, 0, 11, 0, 0]	[7, 8, 6, 6, 5, 6, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
27	['[', '6][1', ']', '\n', 'The', 'Cuers', 'specimen', 'is', 'known', 'from', 'fragments', 'discovered', 'in', 'two', 'separate', 'excavations', ',', 'but', 'believed', 'to', 'represent', 'a', 'single', 'specimen', '.']	[16, 8, 12, 5, 11, 7, 3, 15, 1, 7, 15, 1, 8, 0, 7, 12, 4, 15, 9, 15, 5, 0, 7, 12, -1]	[19, 0, 0, 0, 0, 11, 12, 21, 22, 13, 11, 21, 13, 0, 1, 11, 0, 0, 21, 15, 21, 0, 1, 11, 0]	[7, 8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
28	['A', 'small', 'rostrum', 'fragment', 'believed', 'to', 'be', 'a', 'premaxilla', '(', 'MHNTV', 'PAL-1', '-', '10/2012', ')', 'and', 'a', 'long', 'mandible', 'fragment', '(', 'MHNTV', 'PAL-2/2010', ')', 'are', 'known', ',', 'as', 'well', 'as', 'vertebral', 'centra', 'and', 'rib', 'fragments', 'associated', 'to', 'both', 'collection', 'numbers', '.']	[5, 0, 7, 7, 15, 9, 3, 5, 7, 12, 11, 11, 12, 11, 12, 4, 5, 0, 0, 7, 12, 11, 11, 12, 3, 15, 12, 2, 2, 1, 0, 11, 4, 11, 7, 15, 1, 5, 7, 7, 12]	[0, 1, 11, 12, 21, 15, 21, 0, 11, 0, 11, 12, 0, 11, 0, 0, 0, 1, 2, 11, 0, 11, 12, 0, 21, 22, 0, 3, 4, 13, 1, 11, 0, 11, 12, 21, 13, 0, 11, 12, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
29	['It', 'was', 'originally', 'described', 'as', 'shastasaurid', '-', 'like', ',', 'with', 'flattened', 'centra', 'similar', 'to', 'Shonisaurus', 'and', 'Himalayasaurus', ',', 'and', 'an', 'aulacodont', 'dentition', 'analogous', 'to', 'Shastasaurus', '.']	[10, 3, 2, 15, 1, 7, 12, 6, 12, 1, 15, 11, 0, 1, 11, 4, 11, 12, 4, 5, 7, 7, 0, 1, 11, 12]	[0, 21, 3, 21, 13, 11, 0, 7, 0, 13, 21, 11, 1, 13, 11, 0, 11, 0, 0, 0, 11, 12, 1, 13, 11, 0]	[6, 3, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
30	['[', '7', ']', 'While', 'the', 'morphology', 'of', 'the', 'posterior', 'jaw', 'was', 'considered', 'unique', 'at', 'the', 'time', 'of', 'discovery', ',', 'it', 'has', 'since', 'been', 'linked', 'to', 'Ichthyotitan', 'specimens', '.']	[16, 16, 16, 13, 5, 7, 1, 5, 0, 7, 3, 15, 0, 1, 5, 7, 1, 7, 12, 10, 3, 2, 3, 15, 1, 11, 7, 12]	[19, 20, 20, 17, 0, 11, 13, 0, 1, 11, 21, 22, 1, 13, 0, 11, 13, 11, 0, 0, 21, 3, 21, 22, 13, 11, 12, 0]	[7, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
31	['[', '3', ']', '\n', 'Ichthyotitan', 'is', 'the', 'only', 'shastasaurid', 'and', 'giant', 'ichthyosaur', 'to', 'be', 'known', 'from', 'the', 'Rhaetian', ',', 'found', 'in', 'the', 'fossil', 'record', '13', 'million', 'years', 'after', 'their', 'relatives', '.']	[16, 16, 12, 11, 3, 5, 0, 0, 4, 0, 7, 9, 3, 15, 1, 5, 11, 12, 15, 1, 5, 7, 7, 8, 8, 7, 1, 10, 7, 12, -1]	[19, 20, 0, 0, 11, 21, 0, 1, 2, 0, 1, 11, 15, 21, 22, 13, 0, 11, 0, 21, 13, 0, 11, 12, 0, 0, 11, 13, 0, 11, 0]	[7, 6, 8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
32	['[', '5', ']', 'The', 'lineage', 'is', 'believed', 'to', 'have', 'gone', 'extinct', 'immediately', 'after', 'in', 'the', 'Triassic', '–', 'Jurassic', 'extinction', 'event', ',', 'with', 'later', 'ichthyosaurs', 'never', 'reaching', 'similar', 'sizes', 'until', 'their', 'extinction', 'in', 'the', 'early', 'Late', 'Cretaceous', '.']	[16, 16, 16, 5, 7, 3, 15, 9, 3, 15, 0, 2, 1, 1, 5, 11, 12, 11, 7, 7, 12, 1, 2, 7, 2, 15, 0, 7, 1, 10, 7, 1, 5, 0, 0, 11, 12]	[19, 20, 20, 0, 11, 21, 22, 15, 21, 22, 1, 3, 13, 14, 0, 11, 0, 11, 12, 12, 0, 13, 3, 11, 3, 21, 1, 11, 13, 0, 11, 13, 0, 1, 2, 11, 0]	[7, 6, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
33	['[', '3', ']', '\n', 'While', 'its', 'incompleteness', 'made', 'the', 'size', 'of', 'the', 'animal', 'difficult', 'to', 'determine', ',', 'it', 'was', 'clearly', 'very', 'large', '.']	[16, 16, 16, 13, 10, 7, 15, 5, 7, 1, 5, 7, 0, 9, 15, 12, 10, 3, 2, 2, 0, 12, -1]	[19, 20, 20, 0, 17, 0, 11, 21, 0, 11, 13, 0, 11, 1, 15, 21, 0, 0, 21, 3, 4, 1, 0]	[7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
34	['By', 'comparing', 'the', 'Lilstock', 'surangular', 'to', 'the', 'same', 'bone', 'in', 'Shastasaurus', 'sikanniensis', 'as', 'a', 'model', ',', 'the', 'researchers', 'estimated', 'the', 'Lilstock', 'ichthyosaur', 'to', 'have', 'been', 'around', '26', 'meters', '(', '85', '\xa0', 'ft', ')', 'long', 'or', '25', '%', 'larger', 'by', 'direct', 'scaling', ',', 'nearly', 'the', 'size', 'of', 'a', 'blue', 'whale', '.']	[1, 15, 5, 11, 0, 1, 5, 0, 7, 1, 11, 7, 1, 5, 7, 12, 5, 7, 15, 5, 11, 7, 9, 3, 3, 2, 8, 7, 12, 8, 11, 12, 0, 4, 8, 7, 0, 1, 0, 7, 12, 2, 5, 7, 1, 5, 0, 7, 12, -1]	[13, 21, 0, 11, 1, 13, 0, 1, 11, 13, 11, 12, 13, 0, 11, 0, 0, 11, 21, 0, 11, 12, 15, 21, 22, 3, 0, 11, 0, 0, 0, 11, 0, 1, 0, 0, 11, 1, 13, 1, 11, 0, 3, 0, 11, 13, 0, 1, 11, 0]	[7, 7, 8, 7, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
