id	tokens	ner_tags
19	['Peaches', 'with', 'white', 'flesh', 'typically', 'are', 'very', 'sweet', 'with', 'little', 'acidity', ',', 'while', 'yellow', '-', 'fleshed', 'peaches', 'typically', 'have', 'an', 'acidic', 'tang', 'coupled', 'with', 'sweetness', ',', 'though', 'this', 'also', 'varies', 'greatly', '.']	[[0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
20	['Both', 'colors', 'often', 'have', 'some', 'red', 'on', 'their', 'skins', '.']	[[0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
21	['Low', '-', 'acid', ',', 'white', '-', 'fleshed', 'peaches', 'are', 'the', 'most', 'popular', 'kinds', 'in', 'China', ',', 'Japan', ',', 'and', 'neighbouring', 'Asian', 'countries', ',', 'while', 'Europeans', 'and', 'North', 'Americans', 'have', 'historically', 'favoured', 'the', 'acidic', ',', 'yellow', '-', 'fleshed', 'cultivars', '.']	[[3], [3], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
22	['Peach', 'trees', 'are', 'relatively', 'short', '-', 'lived', 'as', 'compared', 'with', 'some', 'other', 'fruit', 'trees', '.']	[[0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
23	['In', 'some', 'regions', 'orchards', 'are', 'replanted', 'after', '8', 'to', '10', 'years', ',', 'while', 'in', 'others', 'trees', 'may', 'produce', 'satisfactorily', 'for', '20', 'to', '25', 'years', 'or', 'more', ',', 'depending', 'upon', 'their', 'resistance', 'to', 'diseases', ',', 'pests', ',', 'and', 'winter', 'damage', '.']	[[0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
24	"['The', 'scientific', 'name', 'persica', ',', 'along', 'with', 'the', 'word', '""', 'peach', '""', 'itself', '–', 'and', 'its', 'cognates', 'in', 'many', 'European', 'languages', '–', 'derives', 'from', 'an', 'early', 'European', 'belief', 'that', 'peaches', 'were', 'native', 'to', 'Persia', '(', 'modern', '-', 'day', 'Iran', ')', '.']"	[[0], [0], [3], [3], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
25	"['The', 'Ancient', 'Romans', 'referred', 'to', 'the', 'peach', 'as', 'malum', 'persicum', '(', '""', 'Persian', 'apple', '""', ')', ',', 'later', 'becoming', 'French', 'pêche', ',', 'whence', 'the', 'English', '""', 'peach', '""', '.']"	[[0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
26	"['The', 'scientific', 'name', ',', 'Prunus', 'persica', ',', 'literally', 'means', '""', 'Persian', 'plum', '""', ',', 'as', 'it', 'is', 'closely', 'related', 'to', 'the', 'plum', '.']"	[[0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
27	['Fossil', 'endocarps', 'with', 'characteristics', 'indistinguishable', 'from', 'those', 'of', 'modern', 'peaches', 'have', 'been', 'recovered', 'from', 'late', 'Pliocene', 'deposits', 'in', 'Kunming', ',', 'dating', 'to', '2.6', 'million', 'years', 'ago', '.']	[[1], [1], [3], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
28	['In', 'the', 'absence', 'of', 'evidence', 'that', 'the', 'plants', 'were', 'in', 'other', 'ways', 'identical', 'to', 'the', 'modern', 'peach', ',', 'the', 'name', 'Prunus', 'kunmingensis', 'has', 'been', 'assigned', 'to', 'these', 'fossils', '.']	[[0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
29	['Although', 'its', 'botanical', 'name', 'Prunus', 'persica', 'refers', 'to', 'Persia', ',', 'genetic', 'studies', 'suggest', 'peaches', 'originated', 'in', 'China', ',', 'where', 'they', 'have', 'been', 'cultivated', 'since', 'the', 'Neolithic', 'period', '.']	[[3], [3], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
30	['Until', 'recently', ',', 'cultivation', 'was', 'believed', 'to', 'have', 'started', 'around', '2000', 'BC', '.']	[[0], [2], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
31	['More', 'recent', 'evidence', 'indicates', 'that', 'domestication', 'occurred', 'as', 'early', 'as', '6000', 'BC', 'in', 'Zhejiang', 'Province', 'of', 'China', '.']	[[2], [3], [3], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
32	['The', 'oldest', 'archaeological', 'peach', 'stones', 'are', 'from', 'the', 'Kuahuqiao', 'site', 'near', 'Hangzhou', '.']	[[3], [3], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
33	['Archaeologists', 'point', 'to', 'the', 'Yangtze', 'River', 'Valley', 'as', 'the', 'place', 'where', 'the', 'early', 'selection', 'for', 'favorable', 'peach', 'varieties', 'probably', 'took', 'place', '.']	[[0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
34	['Peaches', 'were', 'mentioned', 'in', 'Chinese', 'writings', 'and', 'literature', 'beginning', 'from', 'the', 'early', 'first', 'millennium', 'BC', '.']	[[0], [0], [2], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
35	['A', 'domesticated', 'peach', 'appeared', 'very', 'early', 'in', 'Japan', ',', 'in', '4700–4400', 'BC', ',', 'during', 'the', 'Jōmon', 'period', '.']	[[3], [0], [2], [2], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
36	['It', 'was', 'already', 'similar', 'to', 'modern', 'cultivated', 'forms', ',', 'where', 'the', 'peach', 'stones', 'are', 'significantly', 'larger', 'and', 'more', 'compressed', 'than', 'earlier', 'stones', '.']	[[0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
37	['This', 'domesticated', 'type', 'of', 'peach', 'was', 'brought', 'into', 'Japan', 'from', 'China', '.']	[[3], [3], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
38	['Nevertheless', ',', 'in', 'China', 'itself', ',', 'this', 'variety', 'is', 'currently', 'attested', 'only', 'at', 'a', 'later', 'date', 'around', '3300', 'to', '2300', 'BC', '.']	[[3], [2], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
39	['In', 'India', ',', 'the', 'peach', 'first', 'appeared', 'by', 'about', '1700', 'BC', ',', 'during', 'the', 'Harappan', 'period', '.']	[[3], [0], [0], [2], [3], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
40	['It', 'is', 'also', 'found', 'elsewhere', 'in', 'West', 'Asia', 'in', 'ancient', 'times', '.']	[[0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
41	['Peach', 'cultivation', 'reached', 'Greece', 'by', '300', 'BC', '.']	[[3], [0], [2], [0], [0], [0], [0], [0]]
42	['Alexander', 'the', 'Great', 'is', 'sometimes', 'said', 'to', 'have', 'introduced', 'them', 'into', 'Greece', 'after', 'conquering', 'Persia', ',', 'but', 'no', 'historical', 'evidence', 'for', 'this', 'claim', 'has', 'been', 'found', '.']	[[1], [3], [3], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
43	['Peaches', 'were', ',', 'however', ',', 'well', 'known', 'to', 'the', 'Romans', 'in', 'the', 'first', 'century', 'AD', ';', 'the', 'oldest', 'known', 'artistic', 'representations', 'of', 'the', 'fruit', 'are', 'in', 'two', 'fragments', 'of', 'wall', 'paintings', ',', 'dated', 'to', 'the', 'first', 'century', 'AD', ',', 'in', 'Herculaneum', ',', 'preserved', 'due', 'to', 'the', 'Vesuvius', 'eruption', 'of', '79', 'AD', ',', 'and', 'now', 'held', 'in', 'the', 'National', 'Archaeological', 'Museum', 'in', 'Naples', '.']	[[0], [0], [0], [0], [3], [0], [2], [3], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
44	['Archaeological', 'finds', 'show', 'that', 'peaches', 'were', 'cultivated', 'widely', 'in', 'Roman', 'northwestern', 'Continental', 'Europe', ',', 'but', 'production', 'collapsed', 'around', 'the', 'sixth', 'century', ';', 'some', 'revival', 'of', 'production', 'followed', 'with', 'the', 'Carolingian', 'Renaissance', 'of', 'the', 'ninth', 'century', '.']	[[0], [0], [0], [2], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
45	"['An', 'article', 'on', 'peach', 'tree', 'cultivation', 'in', 'Spain', 'is', 'brought', 'down', 'in', 'Ibn', ""al-'Awwam"", ""'s"", '12th', '-', 'century', 'agricultural', 'work', ',', 'Book', 'on', 'Agriculture', '.']"	[[3], [3], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
46	['The', 'peach', 'was', 'brought', 'to', 'the', 'Americas', 'by', 'Spanish', 'explorers', 'in', 'the', '16th', 'century', ',', 'and', 'eventually', 'made', 'it', 'to', 'England', 'and', 'France', 'in', 'the', '17th', 'century', ',', 'where', 'it', 'was', 'a', 'prized', 'and', 'expensive', 'treat', '.']	[[0], [0], [0], [3], [3], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
47	['Horticulturist', 'George', 'Minifie', 'supposedly', 'brought', 'the', 'first', 'peaches', 'from', 'England', 'to', 'its', 'North', 'American', 'colonies', 'in', 'the', 'early', '17th', 'century', ',', 'planting', 'them', 'at', 'his', 'estate', 'of', 'Buckland', 'in', 'Virginia', '.']	[[1], [0], [3], [0], [0], [3], [3], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
48	['Although', 'Thomas', 'Jefferson', 'had', 'peach', 'trees', 'at', 'Monticello', ',', 'American', 'farmers', 'did', 'not', 'begin', 'commercial', 'production', 'until', 'the', '19th', 'century', 'in', 'Maryland', ',', 'Delaware', ',', 'Georgia', ',', 'South', 'Carolina', ',', 'and', 'finally', 'Virginia', '.']	[[1], [2], [0], [0], [3], [3], [3], [3], [3], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
49	['The', 'Shanghai', 'honey', 'nectar', 'peach', 'was', 'a', 'key', 'component', 'of', 'both', 'the', 'food', 'culture', 'and', 'agrarian', 'economy', 'the', 'area', 'where', 'the', 'modern', 'megacity', 'of', 'Shanghai', 'stands', '.']	[[3], [0], [3], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
50	"['Peaches', 'were', 'the', 'cornerstone', 'of', 'early', 'Shanghai', ""'s"", 'garden', 'culture', '.']"	[[3], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
51	['As', 'modernization', 'and', 'westernization', 'swept', 'through', 'the', 'city', 'the', 'Shanghai', 'honey', 'nectar', 'peach', 'nearly', 'disappeared', 'completely', '.']	[[3], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
52	['Much', 'of', 'modern', 'Shanghai', 'is', 'built', 'over', 'these', 'gardens', 'and', 'peach', 'orchards', '.']	[[3], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
53	['In', 'April', '2010', ',', 'an', 'international', 'consortium', ',', 'the', 'International', 'Peach', 'Genome', 'Initiative', ',', 'which', 'includes', 'researchers', 'from', 'the', 'United', 'States', ',', 'Italy', ',', 'Chile', ',', 'Spain', ',', 'and', 'France', ',', 'announced', 'they', 'had', 'sequenced', 'the', 'peach', 'tree', 'genome', '(', 'doubled', 'haploid', 'Lovell', ')', '.']	[[0], [2], [3], [3], [3], [3], [3], [2], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
54	['Recently', ',', 'it', 'published', 'the', 'peach', 'genome', 'sequence', 'and', 'related', 'analyses', '.']	[[0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
55	['The', 'sequence', 'is', 'composed', 'of', '227', 'million', 'nucleotides', 'arranged', 'in', 'eight', 'pseudomolecules', 'representing', 'the', 'eight', 'peach', 'chromosomes', '(', '2n', '=', '16', ')', '.']	[[0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
56	['In', 'addition', ',', '27,852', 'protein', '-', 'coding', 'genes', 'and', '28,689', 'protein', '-', 'coding', 'transcripts', 'were', 'predicted', '.']	[[0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
57	['Particular', 'emphasis', 'in', 'this', 'study', 'is', 'reserved', 'for', 'the', 'analysis', 'of', 'the', 'genetic', 'diversity', 'in', 'peach', 'germplasm', 'and', 'how', 'it', 'was', 'shaped', 'by', 'human', 'activities', 'such', 'as', 'domestication', 'and', 'breeding', '.']	[[0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
58	['Major', 'historical', 'bottlenecks', 'were', 'found', ',', 'one', 'related', 'to', 'the', 'putative', 'original', 'domestication', 'that', 'is', 'supposed', 'to', 'have', 'taken', 'place', 'in', 'China', 'about', '4,000–5,000', 'years', 'ago', ',', 'the', 'second', 'is', 'related', 'to', 'the', 'western', 'germplasm', 'and', 'is', 'due', 'to', 'the', 'early', 'dissemination', 'of', 'the', 'peach', 'in', 'Europe', 'from', 'China', 'and', 'the', 'more', 'recent', 'breeding', 'activities', 'in', 'the', 'United', 'States', 'and', 'Europe', '.']	[[3], [0], [0], [0], [3], [3], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
59	['These', 'bottlenecks', 'highlighted', 'the', 'substantial', 'reduction', 'of', 'genetic', 'diversity', 'associated', 'with', 'domestication', 'and', 'breeding', 'activities', '.']	[[0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
60	['Peaches', 'were', 'introduced', 'into', 'the', 'Americas', 'in', 'the', '16th', 'century', 'by', 'the', 'Spanish', '.']	[[0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
61	['By', '1580', ',', 'peaches', 'were', 'being', 'grown', 'in', 'Latin', 'America', 'and', 'were', 'cultivated', 'by', 'the', 'remnants', 'of', 'the', 'Inca', 'Empire', 'in', 'Argentina', '.']	[[0], [0], [2], [3], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
62	['In', 'the', 'United', 'States', 'the', 'peach', 'was', 'soon', 'adopted', 'as', 'a', 'crop', 'by', 'American', 'Indians', '.']	[[3], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
63	['The', 'peach', 'also', 'became', 'naturalized', 'and', 'abundant', 'as', 'a', 'wild', 'species', 'in', 'the', 'eastern', 'U.S', '..', 'Peaches', 'were', 'being', 'grown', 'in', 'Virginia', 'as', 'early', 'as', '1629', '.']	[[3], [3], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
64	"['Peaches', 'grown', 'by', 'Indians', 'in', 'Virginia', 'were', 'said', 'to', 'have', 'been', '""', 'of', 'greater', 'variety', 'and', 'finer', 'sorts', '""', 'than', 'those', 'of', 'the', 'English', 'colonists', '.']"	[[0], [3], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
65	['Also', 'in', '1629', ',', 'peaches', 'were', 'listed', 'as', 'a', 'crop', 'in', 'New', 'Mexico', '.']	[[0], [3], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
66	['William', 'Penn', 'noted', 'the', 'existence', 'of', 'wild', 'peaches', 'in', 'Pennsylvania', 'in', '1683', '.']	[[1], [3], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
67	['Peach', 'plantations', 'became', 'an', 'objective', 'of', 'American', 'military', 'campaigns', 'against', 'the', 'Indians', '.']	[[0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
68	['In', '1779', ',', 'the', 'Sullivan', 'Expedition', 'destroyed', 'the', 'livelihood', 'of', 'many', 'of', 'the', 'Iroquois', 'people', 'of', 'New', 'York', '.']	[[0], [2], [0], [3], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
69	['Among', 'the', 'crops', 'destroyed', 'were', 'plantations', 'of', 'peach', 'trees', '.']	[[0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
70	['In', '1864', ',', 'Kit', 'Carson', 'led', 'a', 'successful', 'U.S.', 'army', 'expedition', 'to', 'Canyon', 'de', 'Chelly', ',', 'Arizona', 'to', 'destroy', 'the', 'livelihood', 'of', 'the', 'Navajo', '.']	[[0], [1], [3], [2], [3], [1], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
71	['Carson', 'destroyed', 'thousands', 'of', 'peach', 'trees', '.']	[[1], [0], [0], [0], [0], [0], [0]]
