ID	tokens	pos_tags	chunk_tags	ner_tags
10	['During', 'the', 'early', '7th', 'century', 'under', 'Rædwald', 'of', 'East', 'Anglia', ',', 'it', 'was', 'a', 'powerful', 'Anglo', '-', 'Saxon', 'kingdom', '.']	[1, 5, 0, 0, 7, 1, 11, 1, 11, 11, 12, 10, 3, 5, 0, 0, 12, 11, 7, 12]	[13, 0, 1, 2, 11, 13, 11, 13, 11, 12, 0, 0, 21, 0, 1, 2, 0, 11, 12, 0]	[7, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
11	['Rædwald', ',', 'the', 'first', 'East', 'Anglian', 'king', 'to', 'be', 'baptised', 'a', 'Christian', ',', 'is', 'seen', 'by', 'many', 'scholars', 'to', 'be', 'the', 'person', 'buried', 'within', '(', 'or', 'commemorated', 'by', ')', 'the', 'ship', 'burial', 'at', 'Sutton', 'Hoo', ',', 'near', 'Woodbridge', '.']	[11, 12, 5, 0, 11, 0, 7, 9, 3, 15, 5, 11, 12, 3, 15, 1, 0, 7, 9, 3, 5, 7, 15, 1, 12, 4, 15, 1, 12, 5, 7, 7, 1, 11, 11, 12, 1, 11, 12]	[11, 0, 0, 1, 11, 1, 11, 15, 21, 22, 0, 11, 0, 21, 22, 13, 1, 11, 15, 21, 0, 11, 21, 13, 0, 0, 21, 13, 0, 0, 11, 12, 13, 11, 12, 0, 13, 11, 0]	[7, 8, 8, 3, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
12	['During', 'the', 'decades', 'that', 'followed', 'his', 'death', 'in', 'about', '624', ',', 'East', 'Anglia', 'became', 'increasingly', 'dominated', 'by', 'the', 'kingdom', 'of', 'Mercia', '.']	[1, 5, 7, 10, 15, 10, 7, 1, 1, 8, 12, 11, 11, 3, 2, 15, 1, 5, 7, 1, 11, 12]	[13, 0, 11, 0, 21, 0, 11, 13, 14, 0, 0, 11, 12, 21, 3, 21, 13, 0, 11, 13, 11, 0]	[7, 8, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
13	"['Several', 'of', 'Rædwald', ""'s"", 'successors', 'were', 'killed', 'in', 'battle', ',', 'such', 'as', 'Sigeberht', ',', 'under', 'whose', 'rule', 'and', 'with', 'the', 'guidance', 'of', 'his', 'bishop', ',', 'Felix', 'of', 'Burgundy', ',', 'Christianity', 'was', 'firmly', 'established', '.']"	[0, 1, 11, 9, 7, 3, 15, 1, 7, 12, 0, 1, 11, 12, 1, 5, 7, 4, 1, 5, 7, 1, 10, 7, 12, 11, 1, 11, 12, 11, 3, 2, 15, 12]	[1, 13, 11, 15, 11, 21, 22, 13, 11, 0, 1, 13, 11, 0, 13, 0, 11, 0, 13, 0, 11, 13, 0, 11, 0, 11, 13, 11, 0, 11, 21, 3, 21, 0]	[1, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
14	['[', 'citation', 'needed', ']', '\n', 'From', 'the', 'death', 'of', 'Æthelberht', 'II', 'by', 'the', 'Mercians', 'in', '794', 'until', '825', ',', 'East', 'Anglia', 'ceased', 'to', 'be', 'an', 'independent', 'kingdom', ',', 'apart', 'from', 'a', 'brief', 'reassertion', 'under', 'Eadwald', 'in', '796', '.']	[12, 7, 15, 12, 1, 5, 7, 1, 11, 11, 1, 5, 11, 1, 8, 1, 8, 12, 11, 11, 15, 9, 3, 5, 0, 7, 12, 2, 1, 5, 0, 7, 1, 11, 1, 8, 12, -1]	[0, 11, 21, 0, 0, 13, 0, 11, 13, 11, 12, 13, 0, 11, 13, 0, 13, 0, 0, 11, 12, 21, 15, 21, 0, 1, 11, 0, 3, 13, 0, 1, 11, 13, 11, 13, 0, 0]	[0, 7, 7, 8, 6, 1, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
15	['It', 'survived', 'until', '869', ',', 'when', 'the', 'Vikings', 'defeated', 'the', 'East', 'Anglians', 'in', 'battle', 'and', 'their', 'king', ',', 'Edmund', 'the', 'Martyr', ',', 'was', 'killed', '.']	[10, 15, 1, 8, 12, 13, 5, 11, 15, 5, 11, 11, 1, 7, 4, 10, 7, 12, 1, 5, 11, 12, 3, 15, 12]	[0, 21, 13, 0, 0, 17, 0, 11, 21, 0, 11, 12, 13, 11, 0, 0, 11, 0, 13, 0, 11, 0, 21, 22, 0]	[8, 3, 7, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
16	['After', '879', ',', 'the', 'Vikings', 'settled', 'permanently', 'in', 'East', 'Anglia', '.']	[1, 8, 12, 5, 11, 15, 2, 1, 11, 11, 12]	[13, 0, 0, 0, 11, 21, 3, 13, 11, 12, 0]	[7, 4, 6, 0, 0, 0, 0, 0, 0, 0, 0]
17	['In', '903', 'the', 'exiled', 'Æthelwold', 'ætheling', 'induced', 'the', 'East', 'Anglian', 'Danes', 'to', 'wage', 'a', 'disastrous', 'war', 'on', 'his', 'cousin', 'Edward', 'the', 'Elder', '.']	[1, 8, 5, 15, 7, 7, 15, 5, 11, 11, 7, 9, 15, 5, 0, 7, 1, 10, 7, 11, 5, 7, 12]	[13, 0, 0, 21, 11, 12, 21, 0, 11, 12, 12, 15, 21, 0, 1, 11, 13, 0, 11, 12, 0, 11, 0]	[7, 8, 4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
18	['By', '918', ',', 'after', 'a', 'succession', 'of', 'Danish', 'defeats', ',', 'East', 'Anglia', 'submitted', 'to', 'Edward', 'and', 'was', 'incorporated', 'into', 'the', 'Kingdom', 'of', 'Wessex', '.']	[1, 8, 12, 1, 5, 7, 1, 0, 7, 12, 11, 11, 15, 1, 11, 4, 3, 15, 1, 5, 11, 1, 11, 12]	[13, 0, 0, 13, 0, 11, 13, 1, 11, 0, 11, 12, 21, 13, 11, 0, 21, 22, 13, 0, 11, 13, 11, 0]	[7, 8, 6, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
19	['East', 'Anglia', 'was', 'settled', 'by', 'the', 'Anglo', '-', 'Saxons', 'earlier', 'than', 'many', 'other', 'regions', ',', 'possibly', 'at', 'the', 'start', 'of', 'the', '5th', 'century', '.']	[11, 11, 3, 15, 1, 5, 11, 12, 11, 2, 1, 0, 0, 7, 12, 2, 1, 5, 7, 1, 5, 0, 7, 12]	[11, 12, 21, 22, 13, 0, 11, 0, 11, 3, 13, 1, 2, 11, 0, 3, 13, 0, 11, 13, 0, 1, 11, 0]	[5, 4, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
20	['[', '2', ']', 'It', 'emerged', 'from', 'the', 'political', 'consolidation', 'of', 'the', 'Angles', 'in', 'the', 'approximate', 'area', 'of', 'the', 'former', 'territory', 'of', 'the', 'Iceni', 'and', 'the', 'Roman', 'civitas', ',', 'with', 'its', 'centre', 'at', 'Venta', 'Icenorum', ',', 'close', 'to', 'Caistor', 'St', 'Edmund', '.']	[16, 16, 12, 10, 15, 1, 5, 0, 7, 1, 5, 11, 1, 5, 0, 7, 1, 5, 0, 7, 1, 5, 11, 4, 5, 0, 7, 12, 1, 10, 7, 1, 11, 11, 12, 0, 1, 11, 11, 11, 12]	[19, 20, 0, 0, 21, 13, 0, 1, 11, 13, 0, 11, 13, 0, 1, 11, 13, 0, 1, 11, 13, 0, 11, 0, 0, 1, 11, 0, 13, 0, 11, 13, 11, 12, 0, 1, 13, 11, 12, 12, 0]	[7, 8, 8, 8, 7, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
21	['[', '3', ']', 'The', 'region', 'that', 'was', 'to', 'become', 'East', 'Anglia', 'seems', 'to', 'have', 'been', 'depopulated', 'to', 'some', 'extent', 'around', 'the', '4th', 'century', '.']	[16, 16, 12, 5, 7, 10, 3, 9, 15, 11, 11, 15, 9, 3, 3, 15, 1, 5, 7, 1, 5, 0, 7, 12]	[19, 20, 0, 0, 11, 0, 21, 15, 21, 11, 12, 21, 15, 21, 22, 22, 13, 0, 11, 13, 0, 1, 11, 0]	[7, 6, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
22	"['Ken', 'Dark', 'writes', 'that', '""', 'in', 'this', 'area', 'at', 'least', ',', 'and', 'possibly', 'more', 'widely', 'in', 'eastern', 'Britain', ',', 'large', 'tracts', 'of', 'land', 'appear', 'to', 'have', 'been', 'deserted', 'in', 'the', 'late', '4th', 'century', ',', 'possibly', 'including', 'whole', ""'"", 'small', 'towns', ""'"", 'and', 'villages', '.']"	[11, 11, 15, 13, 12, 1, 5, 7, 1, 0, 12, 4, 2, 2, 2, 1, 0, 11, 12, 0, 7, 1, 7, 15, 9, 3, 3, 15, 1, 5, 0, 0, 7, 12, 2, 15, 0, 12, 0, 7, 9, 4, 7, 12]	[11, 12, 21, 17, 0, 13, 0, 11, 13, 1, 0, 0, 3, 4, 4, 13, 1, 11, 0, 1, 11, 13, 11, 21, 15, 21, 22, 22, 13, 0, 1, 2, 11, 0, 3, 21, 1, 0, 1, 11, 15, 0, 11, 0]	[1, 6, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
23	['This', 'does', 'not', 'seem', 'to', 'be', 'a', 'localised', 'change', 'in', 'settlement', 'location', ',', 'size', 'or', 'character', 'but', 'genuine', 'desertion', '.']	[10, 3, 9, 15, 9, 3, 5, 15, 7, 1, 7, 7, 12, 7, 4, 7, 4, 0, 7, 12]	[0, 21, 15, 21, 15, 21, 0, 21, 11, 13, 11, 12, 0, 11, 0, 11, 0, 1, 11, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
24	"['""', '[', '4', ']', '\n', 'According', 'to', 'Bede', ',', 'the', 'East', 'Angles', '(', 'and', 'the', 'Middle', 'Angles', ',', 'Mercians', 'and', 'Northumbrians', ')', 'were', 'descended', 'from', 'natives', 'of', 'Angeln', '(', 'now', 'in', 'modern', 'Germany', ')', '.']"	[12, 16, 8, 16, 15, 1, 11, 12, 5, 11, 11, 12, 4, 5, 11, 11, 12, 11, 4, 11, 12, 3, 15, 1, 7, 1, 11, 12, 2, 1, 0, 11, 12, 12, -1]	[0, 19, 0, 19, 0, 21, 13, 11, 0, 0, 11, 12, 0, 0, 0, 11, 12, 0, 11, 0, 11, 0, 21, 22, 13, 11, 13, 11, 0, 3, 13, 1, 11, 0, 0]	[8, 1, 0, 7, 8, 1, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
25	['[', '5', ']', 'The', 'first', 'reference', 'to', 'the', 'East', 'Angles', 'is', 'from', 'about', '704–713', ',', 'in', 'the', 'Whitby', 'Life', 'of', 'St', 'Gregory', '.']	[16, 16, 12, 5, 0, 7, 1, 5, 11, 11, 3, 1, 1, 11, 12, 1, 5, 11, 11, 1, 11, 11, 12]	[19, 20, 0, 0, 1, 11, 13, 0, 11, 12, 21, 13, 14, 11, 0, 13, 0, 11, 12, 13, 11, 12, 0]	[7, 8, 0, 8, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
26	['[', '6', ']', 'While', 'the', 'archaeological', 'and', 'linguistic', 'evidence', 'suggests', 'that', 'a', 'large', '-', 'scale', 'migration', 'and', 'settlement', 'of', 'the', 'region', 'by', 'continental', 'Germanic', 'speakers', 'occurred,[7', ']', 'it', 'has', 'been', 'questioned', 'whether', 'all', 'of', 'the', 'migrants', 'self', '-', 'identified', 'as', 'Angles', '.']	[16, 8, 16, 13, 5, 0, 4, 0, 7, 15, 13, 5, 0, 12, 7, 7, 4, 7, 1, 5, 7, 1, 0, 11, 7, 7, 12, 10, 3, 3, 15, 13, 10, 1, 5, 7, 7, 12, 15, 1, 11, 12]	[19, 0, 19, 17, 0, 1, 0, 1, 11, 21, 17, 0, 1, 0, 11, 12, 0, 11, 13, 0, 11, 13, 1, 11, 12, 12, 0, 0, 21, 22, 22, 17, 0, 13, 0, 11, 12, 0, 21, 13, 11, 0]	[7, 4, 7, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
27	['[', '8][9', ']', '\n', 'The', 'East', 'Angles', 'formed', 'one', 'of', 'seven', 'kingdoms', 'known', 'to', 'post', '-', 'medieval', 'historians', 'as', 'the', 'Heptarchy', ',', 'a', 'scheme', 'used', 'by', 'Henry', 'of', 'Huntingdon', 'in', 'the', '12th', 'century', '.']	[16, 16, 16, 5, 11, 11, 15, 8, 1, 8, 7, 15, 1, 0, 0, 0, 7, 1, 5, 11, 12, 5, 7, 15, 1, 11, 1, 11, 1, 5, 0, 7, 12, -1]	[19, 20, 20, 0, 0, 11, 12, 21, 0, 13, 0, 11, 21, 13, 1, 2, 2, 11, 13, 0, 11, 0, 0, 11, 21, 13, 11, 13, 11, 13, 0, 1, 11, 0]	[7, 8, 4, 4, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
28	['Some', 'modern', 'historians', 'have', 'questioned', 'whether', 'the', 'seven', 'ever', 'existed', 'contemporaneously', 'and', 'claim', 'the', 'political', 'situation', 'was', 'far', 'more', 'complicated', '.']	[5, 0, 7, 3, 15, 13, 5, 8, 2, 15, 2, 4, 15, 5, 0, 7, 3, 2, 2, 0, 12]	[0, 1, 11, 21, 22, 17, 0, 0, 3, 21, 3, 0, 21, 0, 1, 11, 21, 3, 4, 1, 0]	[8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
29	"['[', '10', ']', '\n', 'The', 'East', 'Angles', 'were', 'initially', 'ruled', 'by', 'the', 'pagan', 'Wuffingas', 'dynasty', ',', 'apparently', 'named', 'after', 'an', 'early', 'king', 'Wuffa', ',', 'although', 'his', 'name', 'may', 'be', 'a', 'back', '-', 'creation', 'from', 'the', 'name', 'of', 'the', 'dynasty', ',', 'which', 'means', '""', 'descendants', 'of', 'the', 'wolf', '""', '.']"	[16, 8, 12, 5, 11, 11, 3, 2, 15, 1, 5, 11, 11, 7, 12, 2, 15, 1, 5, 0, 7, 11, 12, 13, 10, 7, 3, 3, 5, 7, 12, 7, 1, 5, 7, 1, 5, 7, 12, 10, 15, 12, 7, 1, 5, 7, 12, 12, -1]	[19, 0, 0, 0, 0, 11, 12, 21, 3, 21, 13, 0, 11, 12, 12, 0, 3, 21, 13, 0, 1, 11, 12, 0, 17, 0, 11, 21, 22, 0, 11, 0, 11, 13, 0, 11, 13, 0, 11, 0, 0, 21, 0, 11, 13, 0, 11, 0, 0]	[7, 2, 2, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
30	"['[', '3', ']', 'An', 'indispensable', 'source', 'on', 'the', 'early', 'history', 'of', 'the', 'kingdom', 'and', 'its', 'rulers', 'is', 'Bede', ""'s"", 'Ecclesiastical', 'History', 'of', 'the', 'English', 'People,[a', ']', 'but', 'he', 'provided', 'little', 'on', 'the', 'chronology', 'of', 'the', 'East', 'Anglian', 'kings', 'or', 'the', 'length', 'of', 'their', 'reigns', '.']"	[16, 16, 12, 5, 0, 7, 1, 5, 0, 7, 1, 5, 7, 4, 10, 7, 3, 11, 9, 11, 7, 1, 5, 11, 7, 12, 4, 10, 15, 0, 1, 5, 7, 1, 5, 0, 0, 7, 4, 5, 7, 1, 10, 7, 12]	[19, 20, 0, 0, 1, 11, 13, 0, 1, 11, 13, 0, 11, 0, 0, 11, 21, 11, 15, 11, 12, 13, 0, 11, 12, 0, 0, 0, 21, 1, 13, 0, 11, 13, 0, 1, 2, 11, 0, 0, 11, 13, 0, 11, 0]	[7, 2, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
31	['[', '12', ']', 'Nothing', 'is', 'known', 'of', 'the', 'earliest', 'kings', ',', 'or', 'how', 'the', 'kingdom', 'was', 'organised', ',', 'although', 'a', 'possible', 'centre', 'of', 'royal', 'power', 'is', 'the', 'concentration', 'of', 'ship', '-', 'burials', 'at', 'Snape', 'and', 'Sutton', 'Hoo', 'in', 'eastern', 'Suffolk', '.']	[16, 8, 12, 10, 3, 15, 1, 5, 0, 7, 12, 4, 13, 5, 7, 3, 15, 12, 13, 5, 0, 7, 1, 0, 7, 3, 5, 7, 1, 7, 12, 7, 1, 11, 4, 11, 11, 1, 0, 11, 12]	[19, 0, 0, 0, 21, 22, 13, 0, 1, 11, 0, 0, 17, 0, 11, 21, 22, 0, 17, 0, 1, 11, 13, 1, 11, 21, 0, 11, 13, 11, 0, 11, 13, 11, 0, 11, 12, 13, 1, 11, 0]	[7, 4, 2, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
32	"['The', '""', 'North', 'Folk', '""', 'and', '""', 'South', 'Folk', '""', 'may', 'have', 'existed', 'before', 'the', 'arrival', 'of', 'the', 'first', 'East', 'Anglian', 'kings', '.']"	[5, 12, 11, 11, 12, 4, 12, 11, 11, 12, 3, 3, 15, 1, 5, 7, 1, 5, 0, 11, 0, 7, 12]	[0, 0, 11, 12, 0, 0, 0, 11, 12, 0, 21, 22, 22, 13, 0, 11, 13, 0, 1, 11, 1, 11, 0]	[8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
